epoch,train_loss,train_top1,test_top1,best_top1,learning_rate,epoch_seconds
212,2.85359022,33.440897,32.654470,32.654470,0.0201887563,6.897391
213,2.82960219,34.120245,30.393511,32.654470,0.0197700443,6.809088
214,2.86195031,33.559783,32.464619,32.654470,0.0193546473,6.828530
215,2.79608007,34.510870,31.636175,32.654470,0.0189426110,6.820897
216,2.83936151,34.239130,30.721436,32.654470,0.0185339804,6.937113
217,2.80783634,34.901495,33.396617,33.396617,0.0181288005,6.842306
218,2.77935936,34.901495,31.774249,33.396617,0.0177271156,6.790259
219,2.78993412,35.207201,32.464619,33.396617,0.0173289698,6.867849
220,2.78902082,34.799592,31.325509,33.396617,0.0169344067,6.835035
221,2.78132474,35.156250,31.549879,33.396617,0.0165434697,6.745092
222,2.76557739,35.648777,33.189506,33.396617,0.0161562015,6.830801
223,2.73524545,36.786685,32.775285,33.396617,0.0157726447,6.846230
224,2.75249081,35.920516,32.585433,33.396617,0.0153928413,6.877543
225,2.73922400,36.107337,33.793580,33.793580,0.0150168330,6.881449
226,2.70814922,36.616848,33.034173,33.793580,0.0146446609,6.804937
227,2.69960458,35.988451,33.327580,33.793580,0.0142763660,6.796779
228,2.75940957,35.326087,32.602692,33.793580,0.0139119886,6.881182
229,2.69613128,37.211277,34.311357,34.311357,0.0135515686,6.820477
230,2.71696024,36.480978,32.050397,34.311357,0.0131951456,6.926617
231,2.70169266,37.075408,33.638246,34.311357,0.0128427587,7.051189
232,2.68891098,37.703804,33.224025,34.311357,0.0124944465,6.796261
233,2.65722057,38.400136,34.086987,34.311357,0.0121502472,6.984358
234,2.68723173,36.990489,33.431136,34.311357,0.0118101986,6.928737
235,2.63178718,37.992527,33.224025,34.311357,0.0114743379,6.752735
236,2.66418016,37.873641,34.242320,34.311357,0.0111427019,6.748559
237,2.67169880,37.958560,33.828098,34.311357,0.0108153271,6.808590
238,2.62039096,39.164402,34.311357,34.311357,0.0104922494,6.785385
239,2.60260133,38.943614,34.829134,34.829134,0.0101735041,6.867434
240,2.60433323,39.656929,34.173283,34.829134,0.0098591262,6.706033
241,2.58468251,38.875679,33.707283,34.829134,0.0095491503,6.764127
242,2.58156407,40.200408,34.518467,34.829134,0.0092436102,6.837046
243,2.58489519,39.894701,34.760097,34.829134,0.0089425395,6.766270
244,2.54615655,39.622962,35.053504,35.053504,0.0086459713,6.799553
245,2.55847334,39.656929,35.157059,35.157059,0.0083539380,6.931966
246,2.50924733,41.168478,35.312392,35.312392,0.0080664716,6.780551
247,2.53381561,39.622962,34.949948,35.312392,0.0077836037,6.855224
248,2.55294985,39.690897,35.467725,35.467725,0.0075053654,6.731239
249,2.52555060,40.472147,35.484984,35.484984,0.0072317870,6.948451
250,2.54024382,40.200408,35.260614,35.484984,0.0069628986,6.831790
251,2.51613504,40.811821,35.312392,35.484984,0.0066987298,6.815324
252,2.49974231,41.915761,35.398688,35.484984,0.0064393094,6.955328
253,2.44628461,43.257473,36.002761,36.002761,0.0061846660,6.914130
254,2.47312563,41.100543,35.623058,36.002761,0.0059348274,6.835361
255,2.47148859,41.813859,35.157059,36.002761,0.0056898210,6.734290
256,2.52363538,41.457201,36.313428,36.313428,0.0054496738,6.942969
257,2.46520208,41.881793,35.312392,36.313428,0.0052144120,6.807629
258,2.45637887,42.153533,35.830169,36.313428,0.0049840614,6.822658
259,2.46142975,42.340353,35.623058,36.313428,0.0047586474,7.029073
260,2.43939851,42.034647,36.020021,36.313428,0.0045381945,6.876424
261,2.44316719,42.289402,35.933725,36.313428,0.0043227271,6.982494
262,2.43139917,42.476223,36.209872,36.313428,0.0041122687,6.827877
263,2.39755932,43.461277,36.693131,36.693131,0.0039068424,7.079514
264,2.40138630,43.851902,36.555057,36.693131,0.0037064708,7.426333
265,2.42375408,42.883832,35.933725,36.693131,0.0035111757,6.961583
266,2.35317239,45.142663,36.296168,36.693131,0.0033209787,6.990848
267,2.35296181,44.327446,35.916465,36.693131,0.0031359005,6.904384
268,2.39464195,43.834918,35.709355,36.693131,0.0029559616,6.748832
269,2.37030552,43.987772,36.468761,36.693131,0.0027811815,6.799839
270,2.36374996,43.902853,36.330687,36.693131,0.0026115795,6.712022
271,2.38642336,44.718071,36.365205,36.693131,0.0024471742,6.917403
272,2.35785448,44.191576,36.555057,36.693131,0.0022879836,7.006853
273,2.39549780,43.851902,36.693131,36.693131,0.0021340251,6.857187
274,2.35164582,44.616168,36.986538,36.986538,0.0019853157,6.909763
275,2.33375017,44.870924,36.934760,36.986538,0.0018418717,6.792806
276,2.30422140,45.822011,36.865723,36.986538,0.0017037087,6.847284
277,2.32724761,45.057745,36.779427,36.986538,0.0015708419,6.965605
278,2.29121544,45.923913,36.969279,36.986538,0.0014432860,6.885427
279,2.35595853,44.870924,36.520538,36.986538,0.0013210549,6.904376
280,2.32120214,45.023777,36.952019,36.986538,0.0012041619,6.811787
281,2.36943607,45.023777,36.675872,36.986538,0.0010926200,7.807589
282,2.32053477,45.380435,36.917501,36.986538,0.0009864413,7.750776
283,2.26731766,46.637228,37.245426,37.245426,0.0008856375,7.011498
284,2.29838069,46.161685,36.727649,37.245426,0.0007902196,6.968660
285,2.30103111,46.518342,36.934760,37.245426,0.0007001981,6.973474
286,2.33384396,44.531250,36.848464,37.245426,0.0006155830,6.972817
287,2.27654770,46.025815,36.831205,37.245426,0.0005363834,8.089105
288,2.25693050,46.891984,36.865723,37.245426,0.0004626080,7.685730
289,2.29325854,45.822011,36.969279,37.245426,0.0003942649,7.952885
290,2.25165227,47.027853,36.934760,37.245426,0.0003313617,7.118345
291,2.29734794,45.974864,36.882982,37.245426,0.0002739052,7.130437
292,2.25886732,46.688179,36.813945,37.245426,0.0002219018,7.565731
293,2.30812166,45.516304,36.848464,37.245426,0.0001753570,7.001230
294,2.26551782,46.569293,37.055575,37.245426,0.0001342761,7.327910
295,2.27166457,46.739130,36.693131,37.245426,0.0000986636,6.814319
296,2.28948301,47.112772,36.813945,37.245426,0.0000685233,6.872555
297,2.27970222,45.771060,36.813945,37.245426,0.0000438585,6.849567
298,2.31493327,45.855978,36.831205,37.245426,0.0000246720,6.858569
299,2.25067995,47.452446,36.813945,37.245426,0.0000109658,7.402469
300,2.29804348,46.331522,36.831205,37.245426,0.0000027415,7.139659
